pcon,leftright,lower,upper,libauth,lower,upper,ons_id,pctright,pctauth
"Dumfriesshire, Clydesdale and Tweeddale",0.246266048,0.203103167,0.275818056,0.317449509,0.27593336,0.355252828,S14000014,24.62660476,68.25504909
Dundee East,0.227396475,0.193299307,0.264959617,0.352869737,0.310851211,0.394625054,S14000015,22.73964754,64.71302634
Dundee West,0.200578805,0.163178247,0.229715816,0.362489366,0.3234905,0.396535248,S14000016,20.05788047,63.75106337
Dunfermline and West Fife,0.226881795,0.198047228,0.258532341,0.353735988,0.320823013,0.39152585,S14000017,22.6881795,64.62640123
Dwyfor Meirionnydd,0.236098466,0.172255682,0.300678276,0.326633044,0.253100453,0.391511593,W07000061,23.60984659,67.33669557
Ealing Central and Acton,0.260199113,0.225114109,0.292284765,0.400276655,0.364110725,0.441923106,E14000674,26.01991126,59.97233455
Ealing North,0.248559194,0.22205986,0.28364959,0.321012773,0.287634346,0.362631486,E14000675,24.8559194,67.89872274
"Ealing, Southall",0.236009529,0.199809525,0.266457838,0.297234439,0.259430351,0.33804044,E14000676,23.60095291,70.27655609
Easington,0.220224885,0.181586889,0.258432492,0.298234098,0.252492948,0.339738537,E14000677,22.02248852,70.17659025
East Devon,0.283543016,0.225531984,0.350890183,0.373387494,0.309053291,0.44200353,E14000678,28.35430162,62.66125055
East Dunbartonshire,0.251347328,0.220171158,0.291297105,0.394902985,0.35701479,0.436874119,S14000018,25.13473283,60.50970145
East Ham,0.215436811,0.182256066,0.251236321,0.295662417,0.256610882,0.331502669,E14000679,21.54368106,70.43375833
East Hampshire,0.29641689,0.267282504,0.329612328,0.353378702,0.323656775,0.396203473,E14000680,29.641689,64.66212985
"East Kilbride, Strathaven and Lesmahagow",0.229110313,0.194374667,0.261655257,0.345264206,0.305783164,0.37649099,S14000019,22.91103129,65.47357944
East Lothian,0.239101116,0.203646209,0.272375019,0.350947331,0.309935611,0.393387494,S14000020,23.91011161,64.90526688
East Renfrewshire,0.263731471,0.231552111,0.298407947,0.384205527,0.341269236,0.425805373,S14000021,26.37314709,61.57944727
East Surrey,0.287464903,0.25093746,0.315107326,0.329414611,0.293843997,0.366487583,E14000681,28.74649025,67.0585389
East Worthing and Shoreham,0.266477001,0.230910716,0.290853861,0.326027057,0.292750506,0.368736584,E14000682,26.64770013,67.39729429
East Yorkshire,0.260245397,0.230144086,0.287301049,0.301779025,0.267133327,0.347963896,E14000683,26.0245397,69.82209755
Eastbourne,0.261312571,0.229703512,0.290714945,0.317566545,0.282439884,0.353176375,E14000684,26.13125714,68.2433455
Eastleigh,0.277903155,0.249845367,0.307295676,0.319098612,0.28398024,0.349854558,E14000685,27.79031554,68.09013882
Eddisbury,0.275738319,0.246793315,0.307296484,0.313455785,0.275746914,0.350061739,E14000686,27.57383194,68.65442151
Edinburgh East,0.225086139,0.195089081,0.263897757,0.408952843,0.370683684,0.449796325,S14000022,22.5086139,59.10471567
Edinburgh North and Leith,0.239735336,0.207695417,0.279828906,0.431521558,0.395355494,0.473729068,S14000023,23.97353358,56.84784423
Edinburgh South,0.26171391,0.211298865,0.310726121,0.410409828,0.35112307,0.469679228,S14000024,26.17139098,58.95901721
Edinburgh South West,0.241132455,0.21264419,0.270385208,0.403741777,0.368470054,0.447792533,S14000025,24.1132455,59.62582229
Edinburgh West,0.244689746,0.199797809,0.279299537,0.370756265,0.324555469,0.410510559,S14000026,24.46897458,62.92437346
Edmonton,0.240763676,0.206622338,0.27317565,0.310074519,0.271365925,0.350663443,E14000687,24.07636757,68.99254814
Ellesmere Port and Neston,0.233645666,0.203658747,0.263313909,0.304106627,0.263355414,0.338886999,E14000688,23.36456661,69.58933729
Elmet and Rothwell,0.261604554,0.228946952,0.294877745,0.313191187,0.275762982,0.351587699,E14000689,26.16045542,68.68088126
Eltham,0.260699754,0.224915011,0.295343011,0.329490399,0.29535958,0.362941776,E14000690,26.0699754,67.05096014
Enfield North,0.256751888,0.22223453,0.286807157,0.329930623,0.29263892,0.364871536,E14000691,25.67518876,67.00693772
"Enfield, Southgate",0.27557802,0.24044291,0.299629871,0.343805659,0.29675961,0.380639193,E14000692,27.55780198,65.61943405
Epping Forest,0.273072552,0.239405555,0.305984826,0.31600308,0.281615952,0.352564906,E14000693,27.30725524,68.39969201
Epsom and Ewell,0.294082389,0.262690626,0.324180926,0.33915669,0.299525519,0.371216833,E14000694,29.40823892,66.084331
Erewash,0.26461557,0.237028082,0.299136595,0.324236812,0.286713288,0.360848133,E14000695,26.46155702,67.57631877
